model_type,data_profile,median_cv_mse,std_cv_mse,cv_cv_mse,median_test_mse,std_test_mse,cv_test_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
QRC,Mackey_Glass_(tau=30),0.005280199527604044,0.0011290024808129394,0.21381814738452476,0.006886070867670014,1.7299859428453936e-17,2.5122976165808112e-15,0.3,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),0.00016996146500185855,6.26187687295412e-05,0.3684292126386205,0.0001676160834906103,3.6910576930321785e-05,0.22020904057449522,0.3,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),4.445117953986351e-05,3.528494577437403e-05,0.7937909891171894,3.686500925345941e-05,2.4924799416512924e-05,0.6761099460235178,0.3,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.805677477589062e-05,1.6016578806078814e-05,0.8870121605251524,1.1683602632609276e-05,1.149602921245881e-05,0.9839455837339981,0.3,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.8586642780326786e-05,1.1120418289881504e-05,0.5983016094575196,1.2870191110262671e-05,6.741094762619363e-06,0.523775809144281,0.3,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.5606824398780347e-05,2.1352974524855454e-05,1.3681818914118211,1.0651101391177636e-05,1.4031256609274855e-05,1.3173526468255217,0.3,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),0.002328054399710186,0.0005642122417832299,0.24235354717375476,0.0030710951658357096,7.247438314304709e-18,2.359887246389686e-15,0.5,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),9.169590173116205e-05,3.225672703992636e-05,0.35177937542397486,8.57603927045213e-05,1.8034993264488037e-05,0.2102951338693815,0.5,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),2.7420787046641088e-05,2.0123285459354055e-05,0.73386972537023,2.1868035049381527e-05,1.497943883644365e-05,0.6849924468576019,0.5,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.1537999043007167e-05,1.045404339388569e-05,0.9060534114207238,7.677820178243052e-06,7.708782570132516e-06,1.0040327060507621,0.5,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.2918799246137877e-05,7.238510634635574e-06,0.5603083147839419,9.266430479528793e-06,3.3972851389555545e-06,0.3666228486212428,0.5,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.0897464344712243e-05,1.869399985704944e-05,1.715444920553495,6.46891056133668e-06,1.0083228732484847e-05,1.5587213081519766,0.5,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),0.0013160834320356774,0.0003314255266996153,0.25182714000660006,0.0017861538365273562,5.65526262804747e-18,3.166167724411937e-15,0.7,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),5.471177471303724e-05,1.9412123414535573e-05,0.35480705051795497,5.046531760154453e-05,1.2901290600223654e-05,0.255646674060143,0.7,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.7850701532897048e-05,1.2883455308037175e-05,0.7217338368631766,1.5067934857835697e-05,9.788596139125555e-06,0.6496309037356399,0.7,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),7.56351852070637e-06,7.2159727817573045e-06,0.9540497272535788,5.282395487906934e-06,5.455550742721005e-06,1.032779683991946,0.7,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),9.046059338598587e-06,4.982354384937547e-06,0.5507762218271511,6.854030955558904e-06,2.0378733581128656e-06,0.29732479636090137,0.7,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),7.042203898405457e-06,1.539644762909643e-05,2.1863109690110787,4.105905642318107e-06,7.439085015545887e-06,1.811801259842381,0.7,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),0.0008645418089985353,0.00022029015164405495,0.2548056662513914,0.0012160060794025492,2.8565832837784924e-18,2.349152140079756e-15,0.9,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),3.5817360296616346e-05,1.3200013116992802e-05,0.3685367377070443,3.241260168656272e-05,1.119731312664797e-05,0.34546171994857283,0.9,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.2069885002862926e-05,9.08248328952997e-06,0.7524912861535668,1.0041427924190533e-05,6.980640438384131e-06,0.6951840406648998,0.9,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),5.469358678865919e-06,5.3875315977917105e-06,0.9850389989249753,3.818826880338719e-06,4.1340571496797205e-06,1.0825463628539875,0.9,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),6.689106322339246e-06,3.6972276609817996e-06,0.552723709688149,5.228150195945121e-06,1.4882804043924796e-06,0.28466672697099804,0.9,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),5.0543515457282825e-06,1.2760252107849794e-05,2.52460716125577,2.7780683075484823e-06,5.774772574834555e-06,2.0787007141413767,0.9,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),0.0007293156538137472,0.00018596414133224614,0.25498443693042916,0.001045241134787824,3.063797758816658e-18,2.9311875096061784e-15,1.0,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),2.9776344172436127e-05,1.1331443982352855e-05,0.3805518876572611,2.6922190282329482e-05,1.0811509232149807e-05,0.40158356800731765,1.0,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),1.0088216149415736e-05,7.856369425621034e-06,0.7787669603090374,8.254794951162857e-06,6.062602143797626e-06,0.7344340083145959,1.0,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),4.723648586460496e-06,4.768803388827959e-06,1.0095593060196921,3.3007491421942524e-06,3.6771986172645814e-06,1.1140497077642426,1.0,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=30),5.792576866293535e-06,3.266526595836379e-06,0.5639159688745768,4.53347025415636e-06,1.3563265503058456e-06,0.29918064402481587,1.0,1e-08,8,2.0,0.0,2025,,,
